Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
75,Kent State,12,10,2,.833,7.50,-4.60,0,0,7,0,2,0,975,785,,71.5,111.3,.278,.427,.559,51.8,52.6,10.6,14.0,.529,13.3,30.9,.206
76,La Salle,11,8,3,.727,2.84,-0.70,0,0,4,1,1,2,790,751,,71.2,98.5,.338,.427,.533,49.6,54.2,9.5,10.1,.502,18.0,27.0,.232
77,New Hampshire,12,6,6,.500,-8.48,-5.28,0,0,4,0,2,6,899,813,,72.8,101.9,.267,.424,.530,55.9,57.4,6.2,7.1,.513,17.4,32.3,.169
78,Hartford,13,6,7,.462,-12.87,-7.87,0,0,4,4,2,3,869,902,,71.4,93.6,.327,.424,.522,45.4,56.6,10.7,6.0,.486,18.7,20.7,.233
79,Massachusetts,12,6,6,.500,1.26,0.43,0,0,5,2,1,2,847,837,,69.5,100.5,.301,.423,.536,46.2,53.5,11.3,8.1,.512,16.8,25.6,.201
80,Bucknell,12,4,8,.333,-8.98,0.77,0,0,2,1,1,5,834,951,,72.0,96.5,.291,.423,.520,47.3,47.9,8.0,7.5,.484,17.6,26.3,.214
81,Campbell,11,8,3,.727,-5.36,-6.91,0,0,4,0,3,2,793,702,,69.6,102.5,.223,.422,.551,46.5,56.6,12.1,6.7,.522,16.1,23.5,.174
82,Texas-San Antonio,12,5,7,.417,-4.40,1.30,0,0,4,1,1,2,911,903,,75.0,101.3,.279,.422,.519,50.6,50.9,9.1,7.0,.483,15.3,29.2,.210
83,Navy,10,6,4,.600,-2.99,-4.10,0,0,5,1,1,3,618,577,,61.2,98.4,.375,.421,.506,55.4,57.2,7.5,5.7,.468,18.2,36.0,.257
84,Eastern Kentucky,12,3,9,.250,-16.88,-0.88,0,0,3,2,0,5,880,918,,79.1,92.7,.323,.421,.493,45.8,48.8,13.5,6.2,.452,18.1,27.0,.234
85,Air Force,13,6,7,.462,-3.08,-1.83,1,1,3,3,3,1,986,944,,68.0,111.5,.432,.420,.609,49.8,53.8,7.1,7.2,.569,16.3,20.4,.329
