Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
45,UC-Santa Barbara,13,9,4,.692,0.04,-4.38,0,0,6,1,3,3,944,872,,65.0,102.1,.331,.371,.538,45.1,46.0,7.3,6.9,.509,16.2,25.2,.229
46,University of California,12,6,6,.500,0.87,4.45,0,0,6,1,0,2,793,836,,66.3,104.0,.313,.379,.523,50.8,48.6,6.0,7.4,.480,14.9,29.9,.241
47,Campbell,11,8,3,.727,-5.36,-6.91,0,0,4,0,3,2,793,702,,69.6,90.7,.385,.365,.508,53.5,39.7,8.0,6.6,.463,22.4,31.0,.276
48,Canisius,11,5,6,.455,-5.74,-5.83,0,1,3,0,1,5,780,779,,72.2,98.1,.357,.382,.526,52.8,49.5,10.3,7.0,.491,20.3,34.4,.248
49,Central Arkansas,12,3,9,.250,-13.56,4.44,2,0,3,1,0,7,864,1042,,78.0,108.0,.315,.380,.553,52.5,56.4,11.7,11.3,.519,15.1,30.2,.234
50,Central Connecticut State,12,0,12,.000,-23.63,-0.63,0,0,0,3,0,7,680,956,,72.4,110.1,.299,.428,.571,56.2,60.2,11.1,12.8,.550,15.8,30.1,.205
51,Central Florida,12,9,3,.750,4.80,-1.21,0,0,6,1,1,1,859,787,,69.9,93.8,.207,.353,.495,47.2,57.9,8.8,7.0,.468,17.8,28.6,.152
52,Central Michigan,12,7,5,.583,-2.18,-3.63,0,0,7,0,0,5,1055,899,,78.4,95.6,.229,.422,.543,48.4,53.9,7.8,7.6,.525,20.5,24.4,.153
53,Charleston Southern,11,5,6,.455,-16.74,-0.64,0,0,3,1,2,4,680,813,,70.7,104.6,.267,.379,.551,55.3,54.4,10.6,9.4,.528,18.3,34.3,.185
54,Charlotte,11,6,5,.545,3.37,-3.26,0,0,5,1,1,4,768,695,,68.7,89.9,.273,.415,.503,47.8,52.1,10.7,10.7,.488,19.4,22.2,.160
55,Chattanooga,13,8,5,.615,-3.34,-1.76,0,1,4,0,2,5,913,884,,68.7,98.1,.315,.346,.528,50.2,47.2,8.2,11.3,.499,18.2,27.1,.217
56,Chicago State,14,4,10,.286,-26.27,-1.54,0,0,3,3,1,5,957,1161,,74.5,111.2,.402,.391,.573,52.5,61.1,11.5,6.9,.535,15.7,31.6,.296
57,Cincinnati,12,7,5,.583,9.56,4.81,0,0,5,1,0,2,887,830,,71.2,94.2,.293,.369,.505,47.7,50.9,8.7,8.0,.467,17.7,26.5,.216
58,Citadel,12,6,6,.500,-10.17,-0.62,0,1,3,3,3,3,1021,950,,78.3,98.0,.264,.415,.523,49.6,51.6,10.1,7.3,.497,17.7,27.8,.183
59,Clemson,12,6,6,.500,8.17,2.67,0,2,5,3,0,2,803,737,,67.7,89.8,.262,.463,.506,51.0,54.7,10.0,8.4,.473,21.0,25.7,.191
60,Cleveland State,13,4,9,.308,-14.20,1.30,0,0,2,3,0,6,790,951,,71.9,101.7,.438,.376,.532,51.4,55.1,11.1,13.6,.486,17.6,31.8,.312
61,Coastal Carolina,13,8,5,.615,1.67,-1.69,1,1,5,3,3,1,1066,958,,74.1,99.5,.365,.472,.527,45.9,57.1,8.9,6.1,.492,17.5,28.7,.252
62,Colgate,13,9,4,.692,-1.64,-2.22,0,0,5,0,3,4,974,928,,69.2,102.2,.245,.357,.536,50.4,45.5,9.4,10.6,.510,15.9,26.4,.177
63,College of Charleston,12,6,6,.500,1.77,2.59,0,0,4,2,1,2,825,808,,68.1,98.9,.315,.350,.510,52.4,54.3,8.4,12.6,.473,16.4,30.5,.226
64,Colorado State,14,8,6,.571,4.19,3.90,0,2,4,3,1,2,1015,1011,,69.3,100.7,.236,.398,.534,49.7,51.1,8.1,7.3,.511,16.1,24.7,.166
65,Colorado,12,10,2,.833,14.17,5.75,0,0,5,1,1,1,834,733,,69.5,87.1,.244,.300,.480,45.2,48.7,12.2,10.3,.450,20.1,24.6,.171
66,Columbia,12,3,9,.250,-7.71,-0.79,0,0,2,0,0,8,785,868,,70.8,102.2,.231,.348,.534,52.6,45.2,8.1,13.3,.517,14.6,24.9,.152
67,Connecticut,11,8,3,.727,11.82,0.37,0,0,6,1,0,0,823,697,,70.5,87.9,.303,.333,.481,48.4,46.6,10.1,10.5,.439,20.6,29.2,.223
68,Coppin State,13,4,9,.308,-8.37,0.70,0,0,1,1,3,8,899,1017,,76.2,101.7,.357,.455,.530,53.8,64.0,8.5,8.9,.498,17.1,29.6,.244
